word_id,word,error_code,chairman_label,abstract_detection_target,risk_priority,detection_scope,feature_trigger,surface_error_pattern,dashboard_group
5,always,VOWEL_TEAM_NOT_REALIZED,word-family / pattern confusion,VOWEL_TEAM_PATTERN_SPLIT_OR_REALIZED_WITH_WRONG_VOWEL_VALUE,high,reading|spelling,vowel_team:ay,the vowel team is broken apart or mapped to the wrong sound,pattern_errors
5,always,ENCODING_PATTERN_BREAKDOWN,sound-to-spelling / dictation error,HEARD_SOUND_SEQUENCE_FAILS_TO_MAP_TO_THE_EXPECTED_SPELLING_PATTERN,medium,spelling|dictation,longer_word|vowel_team:ay,the student captures only part of the sound sequence or chooses the wrong pattern in spelling,encoding_errors
5,always,SIMILAR_CONSONANT_SHIFT,similar consonant-pair confusion,TARGET_CONSONANT_REALIZED_AS_NEARBY_L1_OR_VISUALLY_SIMILAR_CONSONANT,medium,pronunciation|reading,contrast_letter:l,"target consonant is replaced, blurred, or swapped with a nearby consonant",consonant_errors
5,always,PHONEME_COUNT_MISMATCH,segmentation weakness,REALIZED_SOUND_COUNT_DOES_NOT_MATCH_THE_EXPECTED_PHONEME_STRUCTURE,low,pronunciation|reading|segmentation_task,longer_word,"the student expands, compresses, or miscounts the word's sound structure",segmentation_errors
5,always,INCOMPLETE_SOUND_CHAIN,blending weakness,TARGET_SOUND_SEQUENCE_IS_NOT_HELD_TOGETHER_AS_ONE_CONTINUOUS_DECODING_CHAIN,low,reading|pronunciation,longer_word,"the student breaks, stalls, or loses part of the target sound chain",blending_errors
6,am,FINAL_CONSONANT_DELETION,final sound missing,TARGET_FINAL_CONSONANT_NOT_REALIZED_OR_TOO_WEAK_TO_CONFIRM,medium,pronunciation|reading,final_consonant,the word ends early without the target final sound,coda_errors
6,am,SHORT_VOWEL_SHIFT,short vowel confusion,TARGET_SHORT_VOWEL_REALIZED_AS_DIFFERENT_VOWEL_CATEGORY,medium,pronunciation|reading,short_vowel_like,target short vowel is replaced by another vowel sound,vowel_errors
6,am,SIMILAR_CONSONANT_SHIFT,similar consonant-pair confusion,TARGET_CONSONANT_REALIZED_AS_NEARBY_L1_OR_VISUALLY_SIMILAR_CONSONANT,medium,pronunciation|reading,contrast_letter:m,"target consonant is replaced, blurred, or swapped with a nearby consonant",consonant_errors
7,and,FINAL_CLUSTER_REDUCTION,blend / cluster distortion,FINAL_CONSONANT_CLUSTER_REDUCED_TO_FEWER_SEGMENTS_THAN_TARGET,high,pronunciation|reading,final_cluster,a final consonant cluster is simplified or partially dropped,cluster_errors
7,and,PHONEME_COUNT_MISMATCH,segmentation weakness,REALIZED_SOUND_COUNT_DOES_NOT_MATCH_THE_EXPECTED_PHONEME_STRUCTURE,medium,pronunciation|reading|segmentation_task,final_cluster,"the student expands, compresses, or miscounts the word's sound structure",segmentation_errors
7,and,FINAL_CONSONANT_DELETION,final sound missing,TARGET_FINAL_CONSONANT_NOT_REALIZED_OR_TOO_WEAK_TO_CONFIRM,medium,pronunciation|reading,final_consonant,the word ends early without the target final sound,coda_errors
7,and,SHORT_VOWEL_SHIFT,short vowel confusion,TARGET_SHORT_VOWEL_REALIZED_AS_DIFFERENT_VOWEL_CATEGORY,medium,pronunciation|reading,short_vowel_like,target short vowel is replaced by another vowel sound,vowel_errors
7,and,SIMILAR_CONSONANT_SHIFT,similar consonant-pair confusion,TARGET_CONSONANT_REALIZED_AS_NEARBY_L1_OR_VISUALLY_SIMILAR_CONSONANT,medium,pronunciation|reading,contrast_letter:d|n,"target consonant is replaced, blurred, or swapped with a nearby consonant",consonant_errors
8,are,R_CONTROLLED_VOWEL_NOT_REALIZED,word-family / pattern confusion,R_CONTROLLED_PATTERN_FAILS_TO_SURFACE_AS_THE_EXPECTED_R_COLORED_VOWEL,high,pronunciation|reading|spelling,r_controlled:ar,"the r-controlled vowel is flattened, split, or replaced",pattern_errors
8,are,ENCODING_PATTERN_BREAKDOWN,sound-to-spelling / dictation error,HEARD_SOUND_SEQUENCE_FAILS_TO_MAP_TO_THE_EXPECTED_SPELLING_PATTERN,medium,spelling|dictation,r_controlled:ar,the student captures only part of the sound sequence or chooses the wrong pattern in spelling,encoding_errors
8,are,SIMILAR_CONSONANT_SHIFT,similar consonant-pair confusion,TARGET_CONSONANT_REALIZED_AS_NEARBY_L1_OR_VISUALLY_SIMILAR_CONSONANT,medium,pronunciation|reading,contrast_letter:r,"target consonant is replaced, blurred, or swapped with a nearby consonant",consonant_errors
9,argue,VOWEL_TEAM_NOT_REALIZED,word-family / pattern confusion,VOWEL_TEAM_PATTERN_SPLIT_OR_REALIZED_WITH_WRONG_VOWEL_VALUE,high,reading|spelling,vowel_team:ue,the vowel team is broken apart or mapped to the wrong sound,pattern_errors
9,argue,ENCODING_PATTERN_BREAKDOWN,sound-to-spelling / dictation error,HEARD_SOUND_SEQUENCE_FAILS_TO_MAP_TO_THE_EXPECTED_SPELLING_PATTERN,medium,spelling|dictation,longer_word|r_controlled:ar|vowel_team:ue,the student captures only part of the sound sequence or chooses the wrong pattern in spelling,encoding_errors
9,argue,R_CONTROLLED_VOWEL_NOT_REALIZED,word-family / pattern confusion,R_CONTROLLED_PATTERN_FAILS_TO_SURFACE_AS_THE_EXPECTED_R_COLORED_VOWEL,high,pronunciation|reading|spelling,r_controlled:ar,"the r-controlled vowel is flattened, split, or replaced",pattern_errors
9,argue,SIMILAR_CONSONANT_SHIFT,similar consonant-pair confusion,TARGET_CONSONANT_REALIZED_AS_NEARBY_L1_OR_VISUALLY_SIMILAR_CONSONANT,medium,pronunciation|reading,contrast_letter:r,"target consonant is replaced, blurred, or swapped with a nearby consonant",consonant_errors
9,argue,PHONEME_COUNT_MISMATCH,segmentation weakness,REALIZED_SOUND_COUNT_DOES_NOT_MATCH_THE_EXPECTED_PHONEME_STRUCTURE,low,pronunciation|reading|segmentation_task,longer_word,"the student expands, compresses, or miscounts the word's sound structure",segmentation_errors
9,argue,INCOMPLETE_SOUND_CHAIN,blending weakness,TARGET_SOUND_SEQUENCE_IS_NOT_HELD_TOGETHER_AS_ONE_CONTINUOUS_DECODING_CHAIN,low,reading|pronunciation,longer_word,"the student breaks, stalls, or loses part of the target sound chain",blending_errors
10,arm,FINAL_CLUSTER_REDUCTION,blend / cluster distortion,FINAL_CONSONANT_CLUSTER_REDUCED_TO_FEWER_SEGMENTS_THAN_TARGET,high,pronunciation|reading,final_cluster,a final consonant cluster is simplified or partially dropped,cluster_errors
10,arm,PHONEME_COUNT_MISMATCH,segmentation weakness,REALIZED_SOUND_COUNT_DOES_NOT_MATCH_THE_EXPECTED_PHONEME_STRUCTURE,medium,pronunciation|reading|segmentation_task,final_cluster,"the student expands, compresses, or miscounts the word's sound structure",segmentation_errors
10,arm,FINAL_CONSONANT_DELETION,final sound missing,TARGET_FINAL_CONSONANT_NOT_REALIZED_OR_TOO_WEAK_TO_CONFIRM,medium,pronunciation|reading,final_consonant,the word ends early without the target final sound,coda_errors
10,arm,R_CONTROLLED_VOWEL_NOT_REALIZED,word-family / pattern confusion,R_CONTROLLED_PATTERN_FAILS_TO_SURFACE_AS_THE_EXPECTED_R_COLORED_VOWEL,high,pronunciation|reading|spelling,r_controlled:ar,"the r-controlled vowel is flattened, split, or replaced",pattern_errors
10,arm,ENCODING_PATTERN_BREAKDOWN,sound-to-spelling / dictation error,HEARD_SOUND_SEQUENCE_FAILS_TO_MAP_TO_THE_EXPECTED_SPELLING_PATTERN,medium,spelling|dictation,r_controlled:ar,the student captures only part of the sound sequence or chooses the wrong pattern in spelling,encoding_errors
10,arm,SIMILAR_CONSONANT_SHIFT,similar consonant-pair confusion,TARGET_CONSONANT_REALIZED_AS_NEARBY_L1_OR_VISUALLY_SIMILAR_CONSONANT,medium,pronunciation|reading,contrast_letter:m|r,"target consonant is replaced, blurred, or swapped with a nearby consonant",consonant_errors
11,art,FINAL_CLUSTER_REDUCTION,blend / cluster distortion,FINAL_CONSONANT_CLUSTER_REDUCED_TO_FEWER_SEGMENTS_THAN_TARGET,high,pronunciation|reading,final_cluster,a final consonant cluster is simplified or partially dropped,cluster_errors
11,art,PHONEME_COUNT_MISMATCH,segmentation weakness,REALIZED_SOUND_COUNT_DOES_NOT_MATCH_THE_EXPECTED_PHONEME_STRUCTURE,medium,pronunciation|reading|segmentation_task,final_cluster,"the student expands, compresses, or miscounts the word's sound structure",segmentation_errors
11,art,FINAL_CONSONANT_DELETION,final sound missing,TARGET_FINAL_CONSONANT_NOT_REALIZED_OR_TOO_WEAK_TO_CONFIRM,medium,pronunciation|reading,final_consonant,the word ends early without the target final sound,coda_errors
11,art,R_CONTROLLED_VOWEL_NOT_REALIZED,word-family / pattern confusion,R_CONTROLLED_PATTERN_FAILS_TO_SURFACE_AS_THE_EXPECTED_R_COLORED_VOWEL,high,pronunciation|reading|spelling,r_controlled:ar,"the r-controlled vowel is flattened, split, or replaced",pattern_errors
11,art,ENCODING_PATTERN_BREAKDOWN,sound-to-spelling / dictation error,HEARD_SOUND_SEQUENCE_FAILS_TO_MAP_TO_THE_EXPECTED_SPELLING_PATTERN,medium,spelling|dictation,r_controlled:ar,the student captures only part of the sound sequence or chooses the wrong pattern in spelling,encoding_errors
11,art,SIMILAR_CONSONANT_SHIFT,similar consonant-pair confusion,TARGET_CONSONANT_REALIZED_AS_NEARBY_L1_OR_VISUALLY_SIMILAR_CONSONANT,medium,pronunciation|reading,contrast_letter:r,"target consonant is replaced, blurred, or swapped with a nearby consonant",consonant_errors
12,at,FINAL_CONSONANT_DELETION,final sound missing,TARGET_FINAL_CONSONANT_NOT_REALIZED_OR_TOO_WEAK_TO_CONFIRM,medium,pronunciation|reading,final_consonant,the word ends early without the target final sound,coda_errors
12,at,SHORT_VOWEL_SHIFT,short vowel confusion,TARGET_SHORT_VOWEL_REALIZED_AS_DIFFERENT_VOWEL_CATEGORY,medium,pronunciation|reading,short_vowel_like,target short vowel is replaced by another vowel sound,vowel_errors
13,away,VOWEL_TEAM_NOT_REALIZED,word-family / pattern confusion,VOWEL_TEAM_PATTERN_SPLIT_OR_REALIZED_WITH_WRONG_VOWEL_VALUE,high,reading|spelling,vowel_team:ay|aw,the vowel team is broken apart or mapped to the wrong sound,pattern_errors
13,away,ENCODING_PATTERN_BREAKDOWN,sound-to-spelling / dictation error,HEARD_SOUND_SEQUENCE_FAILS_TO_MAP_TO_THE_EXPECTED_SPELLING_PATTERN,medium,spelling|dictation,aw|longer_word|vowel_team:ay,the student captures only part of the sound sequence or chooses the wrong pattern in spelling,encoding_errors
13,away,PHONEME_COUNT_MISMATCH,segmentation weakness,REALIZED_SOUND_COUNT_DOES_NOT_MATCH_THE_EXPECTED_PHONEME_STRUCTURE,low,pronunciation|reading|segmentation_task,longer_word,"the student expands, compresses, or miscounts the word's sound structure",segmentation_errors
13,away,INCOMPLETE_SOUND_CHAIN,blending weakness,TARGET_SOUND_SEQUENCE_IS_NOT_HELD_TOGETHER_AS_ONE_CONTINUOUS_DECODING_CHAIN,low,reading|pronunciation,longer_word,"the student breaks, stalls, or loses part of the target sound chain",blending_errors
14,back,FINAL_CLUSTER_REDUCTION,blend / cluster distortion,FINAL_CONSONANT_CLUSTER_REDUCED_TO_FEWER_SEGMENTS_THAN_TARGET,high,pronunciation|reading,final_cluster,a final consonant cluster is simplified or partially dropped,cluster_errors
14,back,PHONEME_COUNT_MISMATCH,segmentation weakness,REALIZED_SOUND_COUNT_DOES_NOT_MATCH_THE_EXPECTED_PHONEME_STRUCTURE,medium,pronunciation|reading|segmentation_task,final_cluster,"the student expands, compresses, or miscounts the word's sound structure",segmentation_errors
14,back,FINAL_CONSONANT_DELETION,final sound missing,TARGET_FINAL_CONSONANT_NOT_REALIZED_OR_TOO_WEAK_TO_CONFIRM,medium,pronunciation|reading,final_consonant,the word ends early without the target final sound,coda_errors
14,back,CONSONANT_DIGRAPH_NOT_REALIZED,word-family / pattern confusion,DIGRAPH_IS_READ_AS_SEPARATE_LETTERS_OR_SUBSTITUTED_WITH_A_DIFFERENT_CONSONANT,medium,pronunciation|reading|spelling,digraph:ck,the digraph is split or replaced with a non-target consonant,pattern_errors
14,back,SHORT_VOWEL_SHIFT,short vowel confusion,TARGET_SHORT_VOWEL_REALIZED_AS_DIFFERENT_VOWEL_CATEGORY,medium,pronunciation|reading,short_vowel_like,target short vowel is replaced by another vowel sound,vowel_errors
14,back,SIMILAR_CONSONANT_SHIFT,similar consonant-pair confusion,TARGET_CONSONANT_REALIZED_AS_NEARBY_L1_OR_VISUALLY_SIMILAR_CONSONANT,medium,pronunciation|reading,contrast_letter:b,"target consonant is replaced, blurred, or swapped with a nearby consonant",consonant_errors
15,backing,FINAL_CLUSTER_REDUCTION,blend / cluster distortion,FINAL_CONSONANT_CLUSTER_REDUCED_TO_FEWER_SEGMENTS_THAN_TARGET,high,pronunciation|reading,final_cluster,a final consonant cluster is simplified or partially dropped,cluster_errors
15,backing,PHONEME_COUNT_MISMATCH,segmentation weakness,REALIZED_SOUND_COUNT_DOES_NOT_MATCH_THE_EXPECTED_PHONEME_STRUCTURE,medium,pronunciation|reading|segmentation_task,final_cluster|longer_word,"the student expands, compresses, or miscounts the word's sound structure",segmentation_errors
15,backing,FINAL_CONSONANT_DELETION,final sound missing,TARGET_FINAL_CONSONANT_NOT_REALIZED_OR_TOO_WEAK_TO_CONFIRM,medium,pronunciation|reading,final_consonant,the word ends early without the target final sound,coda_errors
15,backing,CONSONANT_DIGRAPH_NOT_REALIZED,word-family / pattern confusion,DIGRAPH_IS_READ_AS_SEPARATE_LETTERS_OR_SUBSTITUTED_WITH_A_DIFFERENT_CONSONANT,medium,pronunciation|reading|spelling,digraph:ck|ng,the digraph is split or replaced with a non-target consonant,pattern_errors
15,backing,SIMILAR_CONSONANT_SHIFT,similar consonant-pair confusion,TARGET_CONSONANT_REALIZED_AS_NEARBY_L1_OR_VISUALLY_SIMILAR_CONSONANT,medium,pronunciation|reading,contrast_letter:b|n,"target consonant is replaced, blurred, or swapped with a nearby consonant",consonant_errors
15,backing,INCOMPLETE_SOUND_CHAIN,blending weakness,TARGET_SOUND_SEQUENCE_IS_NOT_HELD_TOGETHER_AS_ONE_CONTINUOUS_DECODING_CHAIN,low,reading|pronunciation,longer_word,"the student breaks, stalls, or loses part of the target sound chain",blending_errors
15,backing,ENCODING_PATTERN_BREAKDOWN,sound-to-spelling / dictation error,HEARD_SOUND_SEQUENCE_FAILS_TO_MAP_TO_THE_EXPECTED_SPELLING_PATTERN,medium,spelling|dictation,longer_word,the student captures only part of the sound sequence or chooses the wrong pattern in spelling,encoding_errors
16,bad,FINAL_CONSONANT_DELETION,final sound missing,TARGET_FINAL_CONSONANT_NOT_REALIZED_OR_TOO_WEAK_TO_CONFIRM,medium,pronunciation|reading,final_consonant,the word ends early without the target final sound,coda_errors
16,bad,SHORT_VOWEL_SHIFT,short vowel confusion,TARGET_SHORT_VOWEL_REALIZED_AS_DIFFERENT_VOWEL_CATEGORY,medium,pronunciation|reading,short_vowel_like,target short vowel is replaced by another vowel sound,vowel_errors
16,bad,SIMILAR_CONSONANT_SHIFT,similar consonant-pair confusion,TARGET_CONSONANT_REALIZED_AS_NEARBY_L1_OR_VISUALLY_SIMILAR_CONSONANT,medium,pronunciation|reading,contrast_letter:b|d,"target consonant is replaced, blurred, or swapped with a nearby consonant",consonant_errors
17,bag,FINAL_CONSONANT_DELETION,final sound missing,TARGET_FINAL_CONSONANT_NOT_REALIZED_OR_TOO_WEAK_TO_CONFIRM,medium,pronunciation|reading,final_consonant,the word ends early without the target final sound,coda_errors
17,bag,SHORT_VOWEL_SHIFT,short vowel confusion,TARGET_SHORT_VOWEL_REALIZED_AS_DIFFERENT_VOWEL_CATEGORY,medium,pronunciation|reading,short_vowel_like,target short vowel is replaced by another vowel sound,vowel_errors
17,bag,SIMILAR_CONSONANT_SHIFT,similar consonant-pair confusion,TARGET_CONSONANT_REALIZED_AS_NEARBY_L1_OR_VISUALLY_SIMILAR_CONSONANT,medium,pronunciation|reading,contrast_letter:b,"target consonant is replaced, blurred, or swapped with a nearby consonant",consonant_errors
18,bags,FINAL_CLUSTER_REDUCTION,blend / cluster distortion,FINAL_CONSONANT_CLUSTER_REDUCED_TO_FEWER_SEGMENTS_THAN_TARGET,high,pronunciation|reading,final_cluster,a final consonant cluster is simplified or partially dropped,cluster_errors
18,bags,PHONEME_COUNT_MISMATCH,segmentation weakness,REALIZED_SOUND_COUNT_DOES_NOT_MATCH_THE_EXPECTED_PHONEME_STRUCTURE,medium,pronunciation|reading|segmentation_task,final_cluster,"the student expands, compresses, or miscounts the word's sound structure",segmentation_errors
18,bags,FINAL_CONSONANT_DELETION,final sound missing,TARGET_FINAL_CONSONANT_NOT_REALIZED_OR_TOO_WEAK_TO_CONFIRM,medium,pronunciation|reading,final_consonant,the word ends early without the target final sound,coda_errors
18,bags,SHORT_VOWEL_SHIFT,short vowel confusion,TARGET_SHORT_VOWEL_REALIZED_AS_DIFFERENT_VOWEL_CATEGORY,medium,pronunciation|reading,short_vowel_like,target short vowel is replaced by another vowel sound,vowel_errors
18,bags,SIMILAR_CONSONANT_SHIFT,similar consonant-pair confusion,TARGET_CONSONANT_REALIZED_AS_NEARBY_L1_OR_VISUALLY_SIMILAR_CONSONANT,medium,pronunciation|reading,contrast_letter:b,"target consonant is replaced, blurred, or swapped with a nearby consonant",consonant_errors
19,bake,FINAL_E_RULE_NOT_REALIZED,CVCe / final-e error,FINAL_E_PATTERN_FAILS_TO_TRIGGER_EXPECTED_LONG_VOWEL_READING_OR_SPELLING,high,reading|spelling,cvc_e,"the final-e pattern is ignored, collapsed, or spelled without final e",pattern_errors
19,bake,ENCODING_PATTERN_BREAKDOWN,sound-to-spelling / dictation error,HEARD_SOUND_SEQUENCE_FAILS_TO_MAP_TO_THE_EXPECTED_SPELLING_PATTERN,medium,spelling|dictation,cvc_e,the student captures only part of the sound sequence or chooses the wrong pattern in spelling,encoding_errors
19,bake,SIMILAR_CONSONANT_SHIFT,similar consonant-pair confusion,TARGET_CONSONANT_REALIZED_AS_NEARBY_L1_OR_VISUALLY_SIMILAR_CONSONANT,medium,pronunciation|reading,contrast_letter:b,"target consonant is replaced, blurred, or swapped with a nearby consonant",consonant_errors
20,baking,FINAL_CLUSTER_REDUCTION,blend / cluster distortion,FINAL_CONSONANT_CLUSTER_REDUCED_TO_FEWER_SEGMENTS_THAN_TARGET,high,pronunciation|reading,final_cluster,a final consonant cluster is simplified or partially dropped,cluster_errors
20,baking,PHONEME_COUNT_MISMATCH,segmentation weakness,REALIZED_SOUND_COUNT_DOES_NOT_MATCH_THE_EXPECTED_PHONEME_STRUCTURE,medium,pronunciation|reading|segmentation_task,final_cluster|longer_word,"the student expands, compresses, or miscounts the word's sound structure",segmentation_errors
20,baking,FINAL_CONSONANT_DELETION,final sound missing,TARGET_FINAL_CONSONANT_NOT_REALIZED_OR_TOO_WEAK_TO_CONFIRM,medium,pronunciation|reading,final_consonant,the word ends early without the target final sound,coda_errors
20,baking,CONSONANT_DIGRAPH_NOT_REALIZED,word-family / pattern confusion,DIGRAPH_IS_READ_AS_SEPARATE_LETTERS_OR_SUBSTITUTED_WITH_A_DIFFERENT_CONSONANT,medium,pronunciation|reading|spelling,digraph:ng,the digraph is split or replaced with a non-target consonant,pattern_errors
20,baking,SIMILAR_CONSONANT_SHIFT,similar consonant-pair confusion,TARGET_CONSONANT_REALIZED_AS_NEARBY_L1_OR_VISUALLY_SIMILAR_CONSONANT,medium,pronunciation|reading,contrast_letter:b|n,"target consonant is replaced, blurred, or swapped with a nearby consonant",consonant_errors
20,baking,INCOMPLETE_SOUND_CHAIN,blending weakness,TARGET_SOUND_SEQUENCE_IS_NOT_HELD_TOGETHER_AS_ONE_CONTINUOUS_DECODING_CHAIN,low,reading|pronunciation,longer_word,"the student breaks, stalls, or loses part of the target sound chain",blending_errors
20,baking,ENCODING_PATTERN_BREAKDOWN,sound-to-spelling / dictation error,HEARD_SOUND_SEQUENCE_FAILS_TO_MAP_TO_THE_EXPECTED_SPELLING_PATTERN,medium,spelling|dictation,longer_word,the student captures only part of the sound sequence or chooses the wrong pattern in spelling,encoding_errors
21,ball,FINAL_CLUSTER_REDUCTION,blend / cluster distortion,FINAL_CONSONANT_CLUSTER_REDUCED_TO_FEWER_SEGMENTS_THAN_TARGET,high,pronunciation|reading,final_cluster,a final consonant cluster is simplified or partially dropped,cluster_errors
21,ball,PHONEME_COUNT_MISMATCH,segmentation weakness,REALIZED_SOUND_COUNT_DOES_NOT_MATCH_THE_EXPECTED_PHONEME_STRUCTURE,medium,pronunciation|reading|segmentation_task,final_cluster,"the student expands, compresses, or miscounts the word's sound structure",segmentation_errors
21,ball,FINAL_CONSONANT_DELETION,final sound missing,TARGET_FINAL_CONSONANT_NOT_REALIZED_OR_TOO_WEAK_TO_CONFIRM,medium,pronunciation|reading,final_consonant,the word ends early without the target final sound,coda_errors
21,ball,SHORT_VOWEL_SHIFT,short vowel confusion,TARGET_SHORT_VOWEL_REALIZED_AS_DIFFERENT_VOWEL_CATEGORY,medium,pronunciation|reading,short_vowel_like,target short vowel is replaced by another vowel sound,vowel_errors
21,ball,SIMILAR_CONSONANT_SHIFT,similar consonant-pair confusion,TARGET_CONSONANT_REALIZED_AS_NEARBY_L1_OR_VISUALLY_SIMILAR_CONSONANT,medium,pronunciation|reading,contrast_letter:b|l,"target consonant is replaced, blurred, or swapped with a nearby consonant",consonant_errors
22,ballplayer,FINAL_CONSONANT_DELETION,final sound missing,TARGET_FINAL_CONSONANT_NOT_REALIZED_OR_TOO_WEAK_TO_CONFIRM,medium,pronunciation|reading,final_consonant,the word ends early without the target final sound,coda_errors
22,ballplayer,VOWEL_TEAM_NOT_REALIZED,word-family / pattern confusion,VOWEL_TEAM_PATTERN_SPLIT_OR_REALIZED_WITH_WRONG_VOWEL_VALUE,high,reading|spelling,vowel_team:ay,the vowel team is broken apart or mapped to the wrong sound,pattern_errors
22,ballplayer,ENCODING_PATTERN_BREAKDOWN,sound-to-spelling / dictation error,HEARD_SOUND_SEQUENCE_FAILS_TO_MAP_TO_THE_EXPECTED_SPELLING_PATTERN,medium,spelling|dictation,longer_word|vowel_team:ay,the student captures only part of the sound sequence or chooses the wrong pattern in spelling,encoding_errors
22,ballplayer,SIMILAR_CONSONANT_SHIFT,similar consonant-pair confusion,TARGET_CONSONANT_REALIZED_AS_NEARBY_L1_OR_VISUALLY_SIMILAR_CONSONANT,medium,pronunciation|reading,contrast_letter:b|l|p|r,"target consonant is replaced, blurred, or swapped with a nearby consonant",consonant_errors
22,ballplayer,PHONEME_COUNT_MISMATCH,segmentation weakness,REALIZED_SOUND_COUNT_DOES_NOT_MATCH_THE_EXPECTED_PHONEME_STRUCTURE,low,pronunciation|reading|segmentation_task,longer_word,"the student expands, compresses, or miscounts the word's sound structure",segmentation_errors
22,ballplayer,INCOMPLETE_SOUND_CHAIN,blending weakness,TARGET_SOUND_SEQUENCE_IS_NOT_HELD_TOGETHER_AS_ONE_CONTINUOUS_DECODING_CHAIN,low,reading|pronunciation,longer_word,"the student breaks, stalls, or loses part of the target sound chain",blending_errors
